review_id,timestamp,rating,review_text,app_version,device,country
rev_0000001,2026-04-05T05:00:00,4,Easy to use and fast,6.3.2,Desktop,United States
rev_0000002,2026-04-01T01:00:00,5,Great offers and smooth checkout,6.3.2,Android,India
rev_0000003,2026-07-25T14:00:00,4,Great offers and smooth checkout,6.4.0,Desktop,India
rev_0000004,2026-05-08T12:00:00,4,Love the new design,6.3.2,Android,India
rev_0000005,2026-02-08T14:00:00,5,Easy to use and fast,6.3.2,Android,United Kingdom
rev_0000006,2026-05-28T06:00:00,5,Easy to use and fast,6.3.2,iOS,United Kingdom
rev_0000007,2026-06-06T14:00:00,5,Great offers and smooth checkout,6.3.2,Desktop,India
rev_0000008,2026-05-07T22:00:00,5,Great offers and smooth checkout,6.3.2,Android,India
rev_0000009,2026-02-21T20:00:00,4,Easy to use and fast,6.3.2,Android,India
rev_0000010,2026-07-17T13:00:00,5,Easy to use and fast,6.3.2,Android,India
rev_0000011,2026-05-31T05:00:00,4,Easy to use and fast,6.3.2,Android,United Kingdom
rev_0000012,2026-05-15T06:00:00,5,Easy to use and fast,6.3.2,iOS,India
rev_0000013,2026-02-12T14:00:00,5,Love the new design,6.3.2,iOS,United States
rev_0000014,2026-04-15T17:00:00,1,Payment keeps failing on Android,6.3.2,Android,India
rev_0000015,2026-06-03T08:00:00,5,Easy to use and fast,6.3.2,iOS,United Kingdom
rev_0000016,2026-05-15T17:00:00,1,App crash during checkout,6.3.2,Android,United States
rev_0000017,2026-04-29T09:00:00,5,Love the new design,6.3.2,Android,India
rev_0000018,2026-06-09T13:00:00,4,Love the new design,6.3.2,iOS,Germany
rev_0000019,2026-05-22T07:00:00,5,Easy to use and fast,6.3.2,Android,United States
rev_0000020,2026-05-23T10:00:00,4,Love the new design,6.3.2,iOS,United Kingdom
rev_0000021,2026-04-08T17:00:00,4,Great offers and smooth checkout,6.3.2,Android,United Kingdom
rev_0000022,2026-06-11T21:00:00,5,Great offers and smooth checkout,6.3.2,iOS,United Kingdom
rev_0000023,2026-07-27T06:00:00,5,Great offers and smooth checkout,6.4.0,Android,United States
rev_0000024,2026-03-15T18:00:00,4,Easy to use and fast,6.3.2,Android,Germany
rev_0000025,2026-05-10T05:00:00,4,Love the new design,6.3.2,Android,India
rev_0000026,2026-04-07T04:00:00,4,Love the new design,6.3.2,Android,United States
rev_0000027,2026-03-05T09:00:00,2,Refund is delayed,6.3.2,Android,United States
rev_0000028,2026-03-29T17:00:00,5,Easy to use and fast,6.3.2,iOS,United States
rev_0000029,2026-02-18T04:00:00,4,Great offers and smooth checkout,6.3.2,iOS,India
rev_0000030,2026-06-16T22:00:00,5,Easy to use and fast,6.3.2,Android,Germany
rev_0000031,2026-03-07T22:00:00,5,Great offers and smooth checkout,6.3.2,Android,United States
rev_0000032,2026-02-20T03:00:00,5,Easy to use and fast,6.3.2,Android,India
rev_0000033,2026-06-04T23:00:00,1,Login is slow,6.3.2,Desktop,United Kingdom
rev_0000034,2026-06-21T06:00:00,5,Easy to use and fast,6.3.2,Android,United States
rev_0000035,2026-06-23T12:00:00,2,Login is slow,6.3.2,Android,India
rev_0000036,2026-07-20T15:00:00,5,Great offers and smooth checkout,6.4.0,Android,India
rev_0000037,2026-05-04T02:00:00,5,Love the new design,6.3.2,Desktop,United Kingdom
rev_0000038,2026-06-23T02:00:00,5,Great offers and smooth checkout,6.3.2,Android,United States
rev_0000039,2026-07-03T08:00:00,4,Great offers and smooth checkout,6.3.2,Desktop,India
rev_0000040,2026-02-15T07:00:00,5,Great offers and smooth checkout,6.3.2,Android,United Kingdom
rev_0000041,2026-03-13T20:00:00,4,Love the new design,6.3.2,Android,United States
rev_0000042,2026-02-05T05:00:00,4,Love the new design,6.3.2,Android,United States
rev_0000043,2026-04-28T05:00:00,5,Great offers and smooth checkout,6.3.2,Android,India
rev_0000044,2026-03-16T05:00:00,5,Love the new design,6.3.2,Android,United Kingdom
rev_0000045,2026-04-13T11:00:00,4,Love the new design,6.3.2,Android,India
rev_0000046,2026-04-17T19:00:00,5,Great offers and smooth checkout,6.3.2,iOS,India
rev_0000047,2026-07-06T07:00:00,4,Easy to use and fast,6.3.2,Android,India
rev_0000048,2026-07-16T05:00:00,4,Love the new design,6.3.2,Android,United States
rev_0000049,2026-04-03T13:00:00,2,Payment keeps failing on Android,6.3.2,Desktop,Singapore
rev_0000050,2026-03-01T12:00:00,4,Easy to use and fast,6.3.2,Android,United Kingdom
rev_0000051,2026-02-24T18:00:00,4,Love the new design,6.3.2,Android,United States
rev_0000052,2026-04-06T13:00:00,5,Easy to use and fast,6.3.2,iOS,United States
rev_0000053,2026-06-30T21:00:00,4,Love the new design,6.3.2,Android,India
rev_0000054,2026-05-15T09:00:00,5,Easy to use and fast,6.3.2,Android,India
rev_0000055,2026-04-22T15:00:00,5,Easy to use and fast,6.3.2,Android,India
rev_0000056,2026-02-18T13:00:00,4,Love the new design,6.3.2,Android,India
rev_0000057,2026-03-04T10:00:00,5,Love the new design,6.3.2,Android,United States
rev_0000058,2026-04-13T18:00:00,5,Easy to use and fast,6.3.2,Android,India
rev_0000059,2026-05-15T03:00:00,5,Great offers and smooth checkout,6.3.2,Android,United States
rev_0000060,2026-04-09T16:00:00,5,Easy to use and fast,6.3.2,Android,India
rev_0000061,2026-04-17T02:00:00,5,Love the new design,6.3.2,iOS,India
rev_0000062,2026-05-06T17:00:00,5,Love the new design,6.3.2,Android,Germany
rev_0000063,2026-04-08T21:00:00,5,Great offers and smooth checkout,6.3.2,Android,United States
rev_0000064,2026-04-06T04:00:00,5,Easy to use and fast,6.3.2,Android,United Kingdom
rev_0000065,2026-06-19T03:00:00,4,Love the new design,6.3.2,Desktop,United States
rev_0000066,2026-04-06T18:00:00,4,Love the new design,6.3.2,Desktop,India
rev_0000067,2026-07-26T03:00:00,1,Payment keeps failing on Android,6.4.0,iOS,United Kingdom
rev_0000068,2026-04-21T01:00:00,4,Love the new design,6.3.2,Android,India
rev_0000069,2026-05-31T09:00:00,4,Great offers and smooth checkout,6.3.2,Android,United Kingdom
rev_0000070,2026-02-23T23:00:00,5,Great offers and smooth checkout,6.3.2,Android,United States
rev_0000071,2026-07-13T11:00:00,4,Love the new design,6.3.2,iOS,United States
rev_0000072,2026-04-18T09:00:00,5,Easy to use and fast,6.3.2,Android,India
rev_0000073,2026-05-04T06:00:00,5,Easy to use and fast,6.3.2,iOS,United Kingdom
rev_0000074,2026-07-24T03:00:00,1,Payment keeps failing on Android,6.4.0,Android,India
rev_0000075,2026-05-14T11:00:00,4,Great offers and smooth checkout,6.3.2,Android,Germany
rev_0000076,2026-03-18T09:00:00,4,Easy to use and fast,6.3.2,Android,India
rev_0000077,2026-03-01T13:00:00,5,Great offers and smooth checkout,6.3.2,Android,India
rev_0000078,2026-05-02T22:00:00,4,Easy to use and fast,6.3.2,Android,United States
rev_0000079,2026-04-21T08:00:00,5,Love the new design,6.3.2,iOS,United Kingdom
rev_0000080,2026-04-24T02:00:00,5,Easy to use and fast,6.3.2,Android,United States
rev_0000081,2026-05-08T03:00:00,4,Easy to use and fast,6.3.2,Android,Germany
rev_0000082,2026-05-16T18:00:00,5,Easy to use and fast,6.3.2,Android,Singapore
rev_0000083,2026-03-28T13:00:00,5,Love the new design,6.3.2,Android,United States
rev_0000084,2026-06-11T00:00:00,4,Great offers and smooth checkout,6.3.2,Android,United States
rev_0000085,2026-04-26T17:00:00,2,Payment keeps failing on Android,6.3.2,Desktop,India
rev_0000086,2026-06-27T12:00:00,5,Great offers and smooth checkout,6.3.2,Android,India
rev_0000087,2026-05-02T20:00:00,5,Great offers and smooth checkout,6.3.2,iOS,United Kingdom
rev_0000088,2026-06-18T04:00:00,4,Easy to use and fast,6.3.2,Android,India
rev_0000089,2026-03-29T19:00:00,2,Refund is delayed,6.3.2,Desktop,United States
rev_0000090,2026-03-27T17:00:00,2,Login is slow,6.3.2,Android,Germany
rev_0000091,2026-06-09T20:00:00,5,Love the new design,6.3.2,Desktop,United Kingdom
rev_0000092,2026-05-26T18:00:00,4,Great offers and smooth checkout,6.3.2,Android,United States
rev_0000093,2026-07-19T10:00:00,5,Love the new design,6.3.2,iOS,India
rev_0000094,2026-06-15T05:00:00,4,Love the new design,6.3.2,Android,United States
rev_0000095,2026-05-18T02:00:00,5,Love the new design,6.3.2,iOS,United Kingdom
rev_0000096,2026-06-13T19:00:00,5,Easy to use and fast,6.3.2,Android,India
rev_0000097,2026-06-07T17:00:00,4,Love the new design,6.3.2,iOS,Germany
rev_0000098,2026-06-18T15:00:00,4,Great offers and smooth checkout,6.3.2,Android,United States
rev_0000099,2026-03-05T19:00:00,4,Easy to use and fast,6.3.2,Android,United Kingdom
rev_0000100,2026-04-13T20:00:00,5,Love the new design,6.3.2,Android,United States
rev_0000101,2026-03-07T17:00:00,5,Easy to use and fast,6.3.2,Android,United States
rev_0000102,2026-06-23T13:00:00,5,Love the new design,6.3.2,Android,Singapore
rev_0000103,2026-04-26T01:00:00,4,Easy to use and fast,6.3.2,Android,United States
rev_0000104,2026-04-07T01:00:00,5,Love the new design,6.3.2,iOS,United States
rev_0000105,2026-05-03T10:00:00,2,App crash during checkout,6.3.2,iOS,United States
rev_0000106,2026-04-22T04:00:00,4,Easy to use and fast,6.3.2,Android,India
rev_0000107,2026-07-28T18:00:00,4,Love the new design,6.4.0,Android,India
