conversion_id,session_id,customer_id,timestamp,product_id,revenue,discount,conversion_type
cnv_0000001,ses_0000024,cus_0001003,2026-02-01T20:38:15,prd_019,39.64,0.00,purchase
cnv_0000002,ses_0000033,cus_0000689,2026-02-01T15:52:56,prd_010,27.13,10.00,purchase
cnv_0000003,ses_0000046,cus_0000168,2026-02-01T08:07:55,prd_009,60.65,0.00,purchase
cnv_0000004,ses_0000068,cus_0001102,2026-02-01T13:41:18,prd_016,30.27,10.00,purchase
cnv_0000005,ses_0000079,cus_0000653,2026-02-02T19:03:06,prd_018,75.02,0.00,purchase
cnv_0000006,ses_0000085,cus_0000679,2026-02-02T23:03:18,prd_015,184.09,5.00,purchase
cnv_0000007,ses_0000088,cus_0000261,2026-02-02T18:38:17,prd_010,48.95,10.00,purchase
cnv_0000008,ses_0000099,cus_0000963,2026-02-02T08:01:27,prd_020,103.23,0.00,purchase
cnv_0000009,ses_0000102,cus_0001016,2026-02-02T08:27:17,prd_007,57.44,0.00,purchase
cnv_0000010,ses_0000106,cus_0001432,2026-02-02T16:23:20,prd_005,48.80,5.00,purchase
cnv_0000011,ses_0000113,cus_0001128,2026-02-02T03:35:28,prd_009,90.88,0.00,purchase
cnv_0000012,ses_0000153,cus_0000159,2026-02-03T11:28:39,prd_012,92.75,5.00,purchase
cnv_0000013,ses_0000180,cus_0001071,2026-02-03T18:54:36,prd_008,232.63,5.00,purchase
cnv_0000014,ses_0000193,cus_0000890,2026-02-03T05:03:22,prd_014,24.70,10.00,purchase
cnv_0000015,ses_0000205,cus_0001356,2026-02-03T17:25:34,prd_019,53.17,0.00,purchase
cnv_0000016,ses_0000211,cus_0001093,2026-02-03T04:38:34,prd_007,27.46,0.00,purchase
cnv_0000017,ses_0000214,cus_0000070,2026-02-04T21:11:11,prd_013,108.18,15.00,purchase
cnv_0000018,ses_0000218,cus_0001132,2026-02-04T08:55:16,prd_003,69.55,0.00,purchase
cnv_0000019,ses_0000237,cus_0001487,2026-02-04T12:50:53,prd_002,66.59,0.00,purchase
cnv_0000020,ses_0000247,cus_0001078,2026-02-04T21:10:09,prd_007,140.93,0.00,purchase
cnv_0000021,ses_0000249,cus_0000663,2026-02-04T12:12:33,prd_018,70.84,0.00,purchase
cnv_0000022,ses_0000254,cus_0000027,2026-02-04T20:27:14,prd_017,43.18,0.00,purchase
cnv_0000023,ses_0000263,cus_0001248,2026-02-04T21:43:11,prd_011,102.59,15.00,purchase
cnv_0000024,ses_0000266,cus_0000251,2026-02-04T18:15:38,prd_004,71.92,0.00,purchase
cnv_0000025,ses_0000275,cus_0000786,2026-02-04T09:23:19,prd_007,37.60,10.00,purchase
cnv_0000026,ses_0000284,cus_0000850,2026-02-04T05:23:52,prd_020,94.90,0.00,purchase
cnv_0000027,ses_0000294,cus_0001320,2026-02-05T09:15:39,prd_004,65.24,0.00,purchase
cnv_0000028,ses_0000299,cus_0000911,2026-02-05T04:59:55,prd_014,32.01,0.00,purchase
cnv_0000029,ses_0000310,cus_0001100,2026-02-05T22:03:46,prd_006,58.42,0.00,purchase
cnv_0000030,ses_0000314,cus_0000081,2026-02-05T21:58:37,prd_002,49.77,0.00,purchase
cnv_0000031,ses_0000318,cus_0000620,2026-02-05T19:16:02,prd_017,46.81,10.00,purchase
cnv_0000032,ses_0000323,cus_0001482,2026-02-05T21:31:20,prd_009,76.50,0.00,purchase
cnv_0000033,ses_0000331,cus_0000516,2026-02-05T10:59:01,prd_013,19.52,0.00,purchase
cnv_0000034,ses_0000341,cus_0001410,2026-02-05T20:34:05,prd_020,32.44,0.00,purchase
cnv_0000035,ses_0000343,cus_0001116,2026-02-05T17:21:37,prd_011,78.25,5.00,purchase
cnv_0000036,ses_0000344,cus_0000371,2026-02-05T05:57:34,prd_007,21.24,5.00,purchase
cnv_0000037,ses_0000347,cus_0001368,2026-02-05T15:10:10,prd_005,26.94,0.00,purchase
cnv_0000038,ses_0000356,cus_0000264,2026-02-06T01:01:59,prd_004,53.53,0.00,purchase
cnv_0000039,ses_0000362,cus_0000323,2026-02-06T15:02:22,prd_010,31.32,0.00,purchase
cnv_0000040,ses_0000363,cus_0000271,2026-02-06T21:38:59,prd_005,108.77,15.00,purchase
cnv_0000041,ses_0000393,cus_0001321,2026-02-06T09:26:10,prd_006,39.49,5.00,purchase
cnv_0000042,ses_0000401,cus_0000007,2026-02-06T07:31:03,prd_008,61.84,0.00,purchase
cnv_0000043,ses_0000409,cus_0000797,2026-02-06T22:35:39,prd_009,14.57,0.00,purchase
cnv_0000044,ses_0000419,cus_0000221,2026-02-07T19:32:44,prd_009,21.55,15.00,purchase
cnv_0000045,ses_0000433,cus_0000780,2026-02-07T20:40:52,prd_016,47.24,15.00,purchase
cnv_0000046,ses_0000445,cus_0001269,2026-02-07T07:06:06,prd_009,85.75,10.00,purchase
cnv_0000047,ses_0000450,cus_0000188,2026-02-07T04:42:45,prd_003,27.55,10.00,purchase
