customer_id,signup_date,country,city,age_group,device_type,acquisition_channel,customer_segment
cus_0000001,2025-08-24,United States,Chicago,55+,iOS,Organic Search,New
cus_0000002,2025-11-10,India,Delhi,25-34,Desktop,Email,Loyal
cus_0000003,2025-04-15,India,Delhi,18-24,iOS,Google Ads,Occasional
cus_0000004,2025-08-29,India,Delhi,45-54,Android,Referral,Occasional
cus_0000005,2025-09-14,United States,Chicago,45-54,iOS,Meta Ads,New
cus_0000006,2025-10-12,India,Bengaluru,18-24,Android,Meta Ads,Occasional
cus_0000007,2025-07-30,United States,Austin,55+,iOS,Direct,Loyal
cus_0000008,2025-04-19,United States,San Francisco,55+,Desktop,Meta Ads,Occasional
cus_0000009,2025-12-19,Singapore,Singapore,35-44,Android,Google Ads,New
cus_0000010,2025-06-12,United States,Austin,18-24,Android,Google Ads,New
cus_0000011,2025-12-25,India,Delhi,18-24,Android,Organic Search,Loyal
cus_0000012,2025-12-19,Germany,Hamburg,18-24,iOS,Direct,New
cus_0000013,2025-04-20,United States,New York,18-24,Desktop,Email,High Value
cus_0000014,2025-08-09,India,Mumbai,45-54,iOS,Google Ads,Occasional
cus_0000015,2025-08-13,United Kingdom,London,45-54,Android,Meta Ads,High Value
cus_0000016,2025-06-11,United Kingdom,London,55+,iOS,Email,Occasional
cus_0000017,2025-08-03,United Kingdom,Bristol,25-34,Desktop,Organic Search,Occasional
cus_0000018,2026-01-14,Singapore,Singapore,25-34,Android,Meta Ads,Occasional
cus_0000019,2026-01-12,India,Mumbai,35-44,Android,Google Ads,Loyal
cus_0000020,2025-07-30,Singapore,Singapore,25-34,Android,Direct,High Value
cus_0000021,2026-01-13,United States,San Francisco,18-24,Android,Organic Search,New
cus_0000022,2025-12-31,India,Bengaluru,18-24,Desktop,Direct,Occasional
cus_0000023,2025-08-24,India,Hyderabad,25-34,Desktop,Direct,Occasional
cus_0000024,2025-11-01,India,Delhi,25-34,Android,Email,Occasional
cus_0000025,2025-05-30,Germany,Munich,55+,Android,Direct,Occasional
cus_0000026,2025-09-20,India,Bengaluru,45-54,iOS,Organic Search,Loyal
cus_0000027,2025-05-02,India,Hyderabad,55+,Android,Organic Search,Loyal
cus_0000028,2025-12-01,India,Bengaluru,25-34,Android,Meta Ads,New
cus_0000029,2025-09-03,United Kingdom,London,35-44,Desktop,Google Ads,New
cus_0000030,2025-07-31,United States,New York,55+,Android,Organic Search,Loyal
