date,campaign_id,impressions,clicks,spend,conversions,revenue
2026-02-01,cmp_001,5568,203,312.73,10,643.03
2026-02-01,cmp_002,3185,117,166.83,6,489.13
2026-02-01,cmp_003,5316,181,182.30,4,248.88
2026-02-01,cmp_004,4685,161,207.96,6,486.58
2026-02-01,cmp_005,4487,83,16.51,3,220.10
2026-02-01,cmp_006,3645,78,14.95,2,113.57
2026-02-01,cmp_007,4895,48,9.69,2,124.33
2026-02-01,cmp_008,4356,88,18.03,3,218.11
2026-02-02,cmp_001,4699,176,264.29,6,394.37
2026-02-02,cmp_002,4273,154,222.26,7,646.03
2026-02-02,cmp_003,4890,137,171.88,3,169.83
2026-02-02,cmp_004,5417,201,212.93,5,293.16
2026-02-02,cmp_005,4992,54,10.99,2,111.36
2026-02-02,cmp_006,5030,89,18.13,2,135.34
2026-02-02,cmp_007,3747,90,19.71,4,308.60
2026-02-02,cmp_008,5343,60,13.30,2,141.06
2026-02-03,cmp_001,4151,120,203.42,3,186.83
2026-02-03,cmp_002,5217,196,280.72,7,485.07
2026-02-03,cmp_003,4118,167,198.23,4,289.64
2026-02-03,cmp_004,4878,151,152.68,5,321.95
2026-02-03,cmp_005,4420,63,11.64,1,74.40
2026-02-03,cmp_006,6187,171,34.88,8,703.17
2026-02-03,cmp_007,4199,84,14.96,4,289.21
2026-02-03,cmp_008,5038,117,24.16,4,302.85
2026-02-04,cmp_001,3876,127,180.78,5,462.39
2026-02-04,cmp_002,5652,190,246.27,6,395.12
2026-02-04,cmp_003,3890,115,140.47,3,230.98
2026-02-04,cmp_004,4092,128,128.90,4,322.09
2026-02-04,cmp_005,4054,116,21.53,6,374.59
2026-02-04,cmp_006,4743,80,16.26,2,113.87
2026-02-04,cmp_007,4273,77,16.36,3,221.33
2026-02-04,cmp_008,3152,56,10.16,1,86.73
2026-02-05,cmp_001,4820,175,236.41,8,698.58
2026-02-05,cmp_002,3544,131,207.26,4,280.07
2026-02-05,cmp_003,3393,114,122.82,3,236.35
2026-02-05,cmp_004,5293,199,247.30,8,564.92
2026-02-05,cmp_005,4767,85,16.04,2,153.70
2026-02-05,cmp_006,4188,97,17.86,3,255.93
2026-02-05,cmp_007,4098,80,16.51,2,111.61
2026-02-05,cmp_008,5948,98,17.05,4,286.30
2026-02-06,cmp_001,5657,210,358.41,6,400.99
2026-02-06,cmp_002,4112,142,199.72,7,633.50
2026-02-06,cmp_003,3203,106,101.28,2,126.90
2026-02-06,cmp_004,4283,121,156.41,3,268.19
2026-02-06,cmp_005,5600,182,32.72,5,307.56
2026-02-06,cmp_006,4118,60,11.42,1,64.40
2026-02-06,cmp_007,3296,98,16.79,3,165.44
2026-02-06,cmp_008,5134,117,23.00,5,295.91
2026-02-07,cmp_001,4117,174,266.83,5,284.30
2026-02-07,cmp_002,4377,163,254.58,6,535.27
2026-02-07,cmp_003,6178,198,199.32,6,340.77
2026-02-07,cmp_004,4987,152,160.67,6,415.39
2026-02-07,cmp_005,5175,95,20.64,2,184.44
2026-02-07,cmp_006,5065,27,5.78,1,92.43
2026-02-07,cmp_007,5090,64,12.93,1,60.97
2026-02-07,cmp_008,4685,68,14.48,2,147.94
2026-02-08,cmp_001,3033,100,151.07,5,283.52
2026-02-08,cmp_002,4965,121,174.71,3,273.04
2026-02-08,cmp_003,5234,188,187.69,7,649.07
2026-02-08,cmp_004,3243,97,111.58,2,170.34
2026-02-08,cmp_005,3716,66,13.16,2,144.67
2026-02-08,cmp_006,5213,70,15.28,2,111.61
2026-02-08,cmp_007,5672,53,10.19,1,59.15
2026-02-08,cmp_008,4055,90,16.33,2,188.69
2026-02-09,cmp_001,4181,158,207.78,6,334.15
2026-02-09,cmp_002,4582,163,197.35,4,299.61
2026-02-09,cmp_003,4811,154,167.46,6,338.99
2026-02-09,cmp_004,4234,144,148.35,6,347.55
2026-02-09,cmp_005,4549,90,17.08,3,206.27
2026-02-09,cmp_006,4208,95,18.60,5,393.31
2026-02-09,cmp_007,3426,33,7.22,0,0.00
2026-02-09,cmp_008,4373,50,10.86,1,62.71
2026-02-10,cmp_001,3535,123,150.58,3,250.90
2026-02-10,cmp_002,5409,199,275.32,7,593.41
2026-02-10,cmp_003,4124,165,161.58,4,293.04
2026-02-10,cmp_004,3949,137,148.29,5,330.43
2026-02-10,cmp_005,5070,54,10.23,2,165.97
2026-02-10,cmp_006,3961,31,6.97,0,0.00
2026-02-10,cmp_007,4929,91,17.96,4,237.04
2026-02-10,cmp_008,5010,113,20.18,3,195.09
2026-02-11,cmp_001,5714,195,244.63,9,815.29
2026-02-11,cmp_002,3536,141,214.82,6,419.66
2026-02-11,cmp_003,4761,162,166.17,4,260.96
2026-02-11,cmp_004,5392,212,229.57,5,381.15
2026-02-11,cmp_005,5410,90,16.89,4,343.04
2026-02-11,cmp_006,4233,61,12.63,2,139.57
2026-02-11,cmp_007,4094,91,17.03,3,234.53
2026-02-11,cmp_008,4993,122,25.19,4,239.50
2026-02-12,cmp_001,4701,174,248.92,4,272.67
2026-02-12,cmp_002,4160,163,244.92,5,425.54
2026-02-12,cmp_003,4015,142,159.32,5,470.11
2026-02-12,cmp_004,4477,116,125.82,5,427.03
2026-02-12,cmp_005,5332,109,22.09,3,207.33
2026-02-12,cmp_006,5216,115,25.79,5,422.40
2026-02-12,cmp_007,4555,68,13.88,2,128.02
2026-02-12,cmp_008,4550,80,15.27,2,147.44
2026-02-13,cmp_001,3771,115,176.20,3,237.93
2026-02-13,cmp_002,4617,175,285.52,9,681.08
2026-02-13,cmp_003,4872,170,202.99,5,455.45
2026-02-13,cmp_004,4904,188,196.70,8,659.92
2026-02-13,cmp_005,3556,91,17.70,3,245.43
2026-02-13,cmp_006,5576,120,24.64,5,310.93
2026-02-13,cmp_007,6666,120,23.30,6,569.74
2026-02-13,cmp_008,5927,68,15.81,3,224.00
2026-02-14,cmp_001,4690,147,215.16,6,397.55
2026-02-14,cmp_002,3986,161,193.50,7,465.75
2026-02-14,cmp_003,4922,169,189.00,5,463.49
2026-02-14,cmp_004,5912,190,208.92,9,653.09
2026-02-14,cmp_005,4072,61,12.76,2,176.39
2026-02-14,cmp_006,5455,117,26.42,4,229.04
2026-02-14,cmp_007,4678,93,15.64,3,281.51
2026-02-14,cmp_008,5162,86,16.37,2,123.13
2026-02-15,cmp_001,4901,193,229.33,7,454.64
2026-02-15,cmp_002,3524,85,113.86,3,202.21
2026-02-15,cmp_003,4990,165,179.28,5,342.92
2026-02-15,cmp_004,5285,182,192.17,8,741.96
2026-02-15,cmp_005,3477,52,8.77,2,111.49
2026-02-15,cmp_006,4125,76,14.40,2,186.10
2026-02-15,cmp_007,4740,79,18.22,3,263.43
2026-02-15,cmp_008,3878,84,16.65,3,200.97
2026-02-16,cmp_001,4853,213,281.52,9,497.14
2026-02-16,cmp_002,4734,155,249.18,4,300.50
2026-02-16,cmp_003,3773,100,115.45,5,305.61
2026-02-16,cmp_004,5835,176,188.96,4,263.30
2026-02-16,cmp_005,3669,57,10.21,1,59.69
2026-02-16,cmp_006,5249,82,14.12,3,170.66
2026-02-16,cmp_007,5980,86,17.18,3,191.73
2026-02-16,cmp_008,6433,122,25.67,4,268.23
2026-02-17,cmp_001,4597,191,288.36,10,637.94
2026-02-17,cmp_002,3711,113,159.16,3,227.70
2026-02-17,cmp_003,5002,152,166.73,6,468.25
2026-02-17,cmp_004,3924,138,151.41,5,418.94
2026-02-17,cmp_005,4117,66,11.80,3,178.53
2026-02-17,cmp_006,4763,74,13.28,3,166.37
2026-02-17,cmp_007,4595,99,19.98,4,355.99
2026-02-17,cmp_008,4353,146,32.61,5,334.53
2026-02-18,cmp_001,6523,225,345.58,11,1016.36
2026-02-18,cmp_002,4927,186,241.96,7,443.39
2026-02-18,cmp_003,5488,189,182.43,5,333.58
2026-02-18,cmp_004,5131,140,151.22,5,388.41
2026-02-18,cmp_005,2434,60,11.93,2,183.07
2026-02-18,cmp_006,5197,53,10.50,2,189.43
2026-02-18,cmp_007,4259,87,14.29,3,177.99
2026-02-18,cmp_008,4675,59,11.21,1,92.56
2026-02-19,cmp_001,5155,192,264.10,5,308.17
2026-02-19,cmp_002,4398,174,251.16,7,613.62
2026-02-19,cmp_003,4556,120,130.92,4,345.17
2026-02-19,cmp_004,3822,154,182.80,5,422.83
2026-02-19,cmp_005,4754,66,13.63,2,173.73
2026-02-19,cmp_006,4070,61,12.90,1,78.06
2026-02-19,cmp_007,4323,95,20.11,3,237.73
2026-02-19,cmp_008,4341,65,12.68,2,147.79
2026-02-20,cmp_001,3246,106,147.09,5,344.08
2026-02-20,cmp_002,5623,177,246.98,5,443.29
2026-02-20,cmp_003,3594,129,146.93,3,197.26
2026-02-20,cmp_004,4413,127,135.08,4,375.40
2026-02-20,cmp_005,4899,104,19.55,3,258.40
2026-02-20,cmp_006,5326,82,17.19,3,284.20
2026-02-20,cmp_007,5469,143,28.50,6,426.89
2026-02-20,cmp_008,4881,78,14.51,2,151.36
2026-02-21,cmp_001,5770,220,344.08,6,517.40
2026-02-21,cmp_002,3870,158,240.80,4,296.43
2026-02-21,cmp_003,4606,149,160.42,7,509.93
2026-02-21,cmp_004,4662,193,195.78,7,519.38
2026-02-21,cmp_005,4647,96,18.07,2,119.23
2026-02-21,cmp_006,4239,75,13.89,2,117.05
2026-02-21,cmp_007,3858,90,17.57,2,189.61
2026-02-21,cmp_008,2957,34,6.75,0,0.00
2026-02-22,cmp_001,4537,141,188.81,7,614.64
2026-02-22,cmp_002,4787,156,219.03,6,534.94
2026-02-22,cmp_003,3977,142,147.83,6,342.89
2026-02-22,cmp_004,4221,138,145.95,4,285.23
2026-02-22,cmp_005,4052,100,21.19,4,348.76
2026-02-22,cmp_006,4364,102,19.35,3,166.36
2026-02-22,cmp_007,4466,76,16.14,3,251.10
2026-02-22,cmp_008,3452,28,5.12,0,0.00
2026-02-23,cmp_001,3564,113,159.23,5,427.69
2026-02-23,cmp_002,5143,195,266.55,8,752.10
2026-02-23,cmp_003,3830,120,127.94,4,301.47
2026-02-23,cmp_004,4333,159,177.58,5,444.66
2026-02-23,cmp_005,3517,77,15.06,2,167.24
2026-02-23,cmp_006,3603,91,15.99,3,181.02
2026-02-23,cmp_007,4325,77,15.15,3,171.43
2026-02-23,cmp_008,3716,64,14.80,2,146.14
2026-02-24,cmp_001,4592,143,205.12,7,610.89
2026-02-24,cmp_002,4596,152,210.39,4,282.30
2026-02-24,cmp_003,5509,188,190.49,8,469.19
2026-02-24,cmp_004,3251,119,155.15,3,207.70
2026-02-24,cmp_005,4092,59,10.40,3,184.44
2026-02-24,cmp_006,5278,118,21.19,3,166.60
2026-02-24,cmp_007,4524,73,15.80,3,257.61
2026-02-24,cmp_008,4458,67,10.77,1,72.98
2026-02-25,cmp_001,4397,130,207.02,7,586.57
2026-02-25,cmp_002,5162,138,194.04,6,498.61
2026-02-25,cmp_003,3214,119,140.03,4,297.10
