experiment_id,experiment_name,variant,customer_id,exposure_date,conversion,revenue
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0001445,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0000251,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0001254,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0000192,2026-07-01,1,101.05
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0000824,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0000061,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0001070,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0001123,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0000664,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0001104,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0000395,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0001349,2026-07-01,1,46.42
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0000806,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0001232,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0000743,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0001252,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0001329,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0001337,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0001212,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0000136,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0000350,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0000510,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0001145,2026-07-01,1,59.59
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0000708,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0001085,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0001096,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0000700,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0001352,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0000107,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0000941,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0000458,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0000224,2026-07-01,1,56.33
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0001149,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0000968,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0001435,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0000403,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0001143,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0001182,2026-07-01,1,99.93
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0000936,2026-07-01,1,98.27
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0000963,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,control,cus_0000417,2026-07-01,0,0.00
exp_checkout_copy_001,Checkout reassurance copy,treatment,cus_0001483,2026-07-01,0,0.00
